link_id,station_id,road_name,lat,lon,year,month,AADT,AADT_motorcycles,AADT_cars,AADT_buses,AADT_trucks,AADT_heavy,heavy_pct,peak_hour_factor,growth_rate,data_source,region
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2020,9,2288.0,463.0,1091.0,302.0,155.5,311.0,13.592657342657343,0.11,-61.88,ATC_permanent,Central
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,1,32894.0,14101.0,14110.0,2557.0,495.5,991.0,3.0127074846476565,0.11,7.17,ATC_permanent,Central
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,2,32115.0,14028.0,13404.0,2585.0,506.0,1012.0,3.1511754631791997,0.11,7.17,ATC_permanent,Central
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,3,36221.0,6644.0,13683.0,6252.0,3465.0,6930.0,19.13254741724414,0.11,7.17,ATC_permanent,Central
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,4,35907.0,6834.0,13676.0,6293.0,3367.5,6735.0,18.756788369955718,0.11,7.17,ATC_permanent,Central
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2021,1,2468.0,632.0,1554.0,145.0,58.0,116.0,4.700162074554295,0.11,-42.44,ATC_permanent,North East
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,5,30846.0,13749.0,13016.0,2232.0,433.0,866.0,2.807495299228425,0.11,7.17,ATC_permanent,Central
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,6,30793.0,13962.0,12481.0,2334.0,498.0,996.0,3.234501347708895,0.11,7.17,ATC_permanent,Central
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,7,32556.0,15325.0,12858.0,2321.0,490.0,980.0,3.0101978129991402,0.11,7.17,ATC_permanent,Central
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,8,31837.0,14824.0,12886.0,2404.0,512.0,1024.0,3.216383453214813,0.11,7.17,ATC_permanent,Central
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2021,2,2618.0,1389.0,1086.0,100.0,19.5,39.0,1.489686783804431,0.11,-42.44,ATC_permanent,North East
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,9,30043.0,13441.0,11872.0,2579.0,544.0,1088.0,3.6214758845654558,0.11,7.17,ATC_permanent,Central
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,10,31092.0,13795.0,12655.0,2481.0,541.5,1083.0,3.4832111153994596,0.11,7.17,ATC_permanent,Central
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,11,33110.0,15611.0,12874.0,2520.0,514.5,1029.0,3.1078224101479917,0.11,7.17,ATC_permanent,Central
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2019,12,34829.0,18009.0,12289.0,2386.0,522.0,1044.0,2.9975020815986677,0.11,7.17,ATC_permanent,Central
A001_Link01,A00107,Kampala - Mukono,32.674175,0.354184,2020,1,34207.0,16539.0,13340.0,2409.0,487.0,974.0,2.8473704212588067,0.11,7.17,ATC_permanent,Central
